"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
88,"PRIVATE",1955,16,4,3,2,3
69,"PRIVATE",1952,22,4,2,2,3
92,"PRIVATE",1920,32,4,2,2,3
98,"PRIVATE",1920,32,4,3,3,3
82,"PRIVATE",1955,42,6,2,2,3
95,"PRIVATE",1955,42,6,3,3,3
82,"SOCIAL HOUSING",2009,30,3,2,2,3
89,"SOCIAL HOUSING",2009,30,3,1,3,3
81,"PRIVATE",1930,46,3,2,2,3
89,"PRIVATE",1930,46,3,3,3,3
80,"PRIVATE",1958,25,4,2,2,3
90,"PRIVATE",1958,25,4,3,3,3
93,"PRIVATE",1955,31,6,3,1,3
95,"PRIVATE",1955,31,6,3,2,3
90,"PRIVATE",1927,24,4,3,2,3
81,"PRIVATE",1938,24,4,3,2,3
80,"PRIVATE",1926,52,4,2,1,3
93,"PRIVATE",1965,263,22,3,3,3
87,"PRIVATE",1966,245,18,3,3,3
96,"PRIVATE",1968,153,13,3,3,3
98,"PRIVATE",1968,153,13,3,2,3
96,"PRIVATE",1969,125,14,3,3,3
98,"PRIVATE",1969,125,14,3,3,3
90,"TCHC",1986,135,8,2,2,3
69,"TCHC",1969,40,6,1,1,3
94,"TCHC",1957,31,3,2,2,3
74,"TCHC",1957,31,3,1,2,3
92,"TCHC",1957,31,3,3,1,3
85,"PRIVATE",1960,16,3,3,2,3
96,"PRIVATE",1975,173,23,3,3,3
97,"PRIVATE",1975,173,23,3,2,3
87,"PRIVATE",1963,40,4,3,2,3
96,"SOCIAL HOUSING",1991,106,11,3,2,3
93,"PRIVATE",1940,33,4,2,3,3
88,"PRIVATE",1920,32,4,3,2,3
92,"PRIVATE",1920,32,4,3,1,3
97,"PRIVATE",2018,51,9,3,3,3
79,"PRIVATE",1947,12,3,2,2,3
92,"PRIVATE",1947,12,3,3,2,3
85,"PRIVATE",1929,32,4,2,3,3
92,"PRIVATE",1929,32,4,3,2,3
96,"PRIVATE",1929,24,3,3,2,3
79,"PRIVATE",1950,32,4,1,1,3
83,"PRIVATE",1950,32,4,2,2,3
91,"TCHC",1977,99,9,3,2,3
88,"PRIVATE",1967,85,16,2,2,3
89,"PRIVATE",1927,37,4,3,1,3
93,"PRIVATE",1927,37,4,3,3,3
84,"TCHC",1994,35,5,2,2,3
97,"TCHC",1994,35,5,3,3,3
86,"PRIVATE",1920,65,6,3,2,3
95,"PRIVATE",1920,65,6,3,3,3
95,"TCHC",1980,50,4,3,3,3
92,"PRIVATE",1965,260,25,3,2,3
82,"PRIVATE",1982,256,14,3,1,3
91,"TCHC",1980,54,12,2,2,3
96,"PRIVATE",2017,248,26,2,3,3
100,"PRIVATE",2017,248,26,3,3,3
92,"PRIVATE",1926,16,4,3,2,3
88,"PRIVATE",1953,15,4,3,3,3
83,"PRIVATE",1953,37,4,2,2,2
94,"PRIVATE",1953,37,4,3,2,3
93,"PRIVATE",1953,15,4,3,2,3
96,"PRIVATE",1953,15,4,3,3,3
76,"PRIVATE",1951,12,3,3,2,3
76,"SOCIAL HOUSING",1959,16,3,3,1,3
86,"PRIVATE",1959,14,3,2,2,3
88,"PRIVATE",1959,16,3,3,3,3
92,"PRIVATE",1959,16,3,3,2,3
95,"PRIVATE",1970,194,15,3,3,3
96,"PRIVATE",1970,194,15,3,2,3
82,"PRIVATE",1969,167,22,3,1,3
81,"PRIVATE",1966,194,16,2,2,3
81,"PRIVATE",1969,100,15,3,2,3
92,"PRIVATE",1972,120,4,3,2,3
95,"PRIVATE",1972,120,4,3,2,3
74,"PRIVATE",1973,356,17,2,2,2
79,"PRIVATE",1966,284,24,3,2,3
84,"PRIVATE",1966,284,24,3,2,3
95,"PRIVATE",1959,26,4,2,3,3
96,"PRIVATE",1955,31,5,3,3,3
98,"PRIVATE",1955,31,5,3,2,3
86,"PRIVATE",1960,24,4,1,2,3
97,"PRIVATE",1960,24,4,3,3,3
94,"PRIVATE",1954,44,4,3,2,3
98,"PRIVATE",1954,44,4,3,2,3
99,"PRIVATE",1954,13,6,3,3,3
100,"PRIVATE",1954,13,6,3,3,3
87,"PRIVATE",1954,44,4,3,1,3
95,"PRIVATE",1960,48,5,3,2,3
99,"PRIVATE",1960,48,5,3,3,3
94,"PRIVATE",1960,10,3,3,3,3
96,"PRIVATE",1960,10,3,3,3,3
91,"PRIVATE",1970,176,13,2,2,3
84,"PRIVATE",1963,100,6,2,2,3
95,"PRIVATE",1963,100,6,3,1,3
91,"PRIVATE",1977,153,13,3,2,3
92,"PRIVATE",1967,151,14,2,3,3
94,"PRIVATE",1967,151,14,3,2,3
95,"TCHC",1974,350,14,2,2,2
91,"PRIVATE",1974,84,7,3,2,2
98,"PRIVATE",1974,84,7,3,3,3
82,"SOCIAL HOUSING",2011,190,18,3,1,3
83,"TCHC",1923,17,3,2,2,3
60,"TCHC",2006,47,3,1,1,3
81,"TCHC",2006,47,3,3,2,3
91,"PRIVATE",1950,19,3,3,3,3
87,"PRIVATE",1952,17,3,3,1,3
90,"PRIVATE",1952,17,3,3,1,3
85,"PRIVATE",1952,17,3,3,3,3
100,"PRIVATE",2012,283,26,3,3,3
100,"PRIVATE",2012,283,26,3,3,3
100,"PRIVATE",2011,218,21,3,3,3
79,"PRIVATE",1950,23,4,2,3,3
90,"PRIVATE",1950,23,4,3,1,3
88,"PRIVATE",1965,47,5,3,3,3
95,"PRIVATE",1965,47,5,3,3,3
91,"PRIVATE",1950,62,7,3,3,3
93,"PRIVATE",1950,62,7,3,3,3
91,"PRIVATE",1965,55,7,3,2,3
96,"PRIVATE",1958,61,4,3,3,3
85,"PRIVATE",1960,61,5,3,2,3
83,"PRIVATE",1960,61,5,2,1,3
82,"PRIVATE",1959,29,3,2,2,3
97,"PRIVATE",1970,66,4,3,2,3
96,"PRIVATE",1970,66,4,3,2,3
76,"TCHC",1967,221,10,1,1,1
87,"PRIVATE",1968,214,18,2,1,3
90,"PRIVATE",1968,214,18,3,1,3
91,"PRIVATE",1968,285,24,2,2,3
91,"PRIVATE",1968,285,24,3,2,3
89,"PRIVATE",1970,284,24,3,2,3
93,"PRIVATE",1970,284,24,3,2,3
92,"TCHC",1971,278,25,3,3,3
84,"TCHC",1971,278,24,2,2,3
96,"PRIVATE",1931,54,4,3,2,3
99,"PRIVATE",1931,54,4,3,3,3
93,"PRIVATE",1960,104,7,3,2,3
87,"PRIVATE",1950,40,4,3,1,3
88,"PRIVATE",1950,40,4,3,3,3
90,"PRIVATE",1950,40,4,3,2,3
89,"PRIVATE",1950,40,4,3,1,3
92,"SOCIAL HOUSING",1989,70,4,3,2,3
96,"SOCIAL HOUSING",1989,70,4,3,3,3
96,"PRIVATE",1960,40,4,3,2,3
98,"PRIVATE",1960,40,4,2,3,3
93,"PRIVATE",1960,40,4,3,2,3
95,"PRIVATE",1960,40,4,3,2,3
97,"PRIVATE",1959,61,4,3,2,3
92,"PRIVATE",1963,76,7,3,2,3
95,"PRIVATE",1963,76,7,3,3,3
84,"PRIVATE",1962,65,6,3,2,3
97,"PRIVATE",1962,65,6,3,3,3
91,"PRIVATE",1966,82,8,3,2,3
99,"PRIVATE",1966,82,8,3,3,3
88,"PRIVATE",1966,77,8,3,2,3
87,"PRIVATE",1960,110,7,2,2,3
81,"PRIVATE",1969,90,7,3,1,3
95,"PRIVATE",1972,122,16,3,2,3
80,"TCHC",1983,166,12,1,3,3
91,"TCHC",1983,166,12,3,2,3
87,"SOCIAL HOUSING",1997,128,7,3,2,3
93,"SOCIAL HOUSING",1997,128,7,3,2,3
96,"SOCIAL HOUSING",1993,205,9,3,2,3
81,"TCHC",1993,102,7,1,1,3
89,"TCHC",1993,102,7,3,2,3
92,"TCHC",2006,220,7,2,3,3
95,"TCHC",2006,220,7,3,2,3
91,"PRIVATE",1961,55,4,3,3,3
93,"PRIVATE",1961,55,4,3,2,3
95,"PRIVATE",1966,73,17,3,3,3
100,"PRIVATE",1966,73,17,3,3,3
78,"PRIVATE",1977,22,4,3,1,3
97,"PRIVATE",1977,22,4,3,1,3
84,"PRIVATE",1977,22,4,3,2,3
79,"PRIVATE",1970,12,4,3,2,3
88,"PRIVATE",1962,26,3,3,2,3
93,"PRIVATE",1962,26,3,3,1,3
89,"PRIVATE",1952,34,4,3,2,3
96,"PRIVATE",1952,34,4,3,3,3
89,"PRIVATE",1955,34,4,3,2,3
93,"PRIVATE",1955,34,4,3,2,3
87,"PRIVATE",1954,22,4,3,3,3
85,"PRIVATE",1970,18,4,3,3,3
86,"PRIVATE",1954,22,3,3,2,3
68,"PRIVATE",1952,15,4,1,2,3
82,"PRIVATE",1970,17,4,3,2,3
94,"PRIVATE",1970,17,4,3,3,3
57,"PRIVATE",1951,11,3,1,3,3
91,"PRIVATE",1956,21,3,3,2,3
90,"PRIVATE",1963,102,4,2,2,3
95,"PRIVATE",1963,102,4,3,3,3
93,"PRIVATE",1963,95,4,3,2,3
97,"SOCIAL HOUSING",1993,63,3,3,3,3
98,"SOCIAL HOUSING",1993,63,3,3,3,3
97,"SOCIAL HOUSING",1993,66,3,3,3,3
90,"PRIVATE",1969,48,5,3,2,3
82,"PRIVATE",1962,109,7,3,2,3
84,"PRIVATE",1970,17,3,3,2,3
97,"PRIVATE",1970,17,3,3,3,3
88,"PRIVATE",1968,32,3,3,3,3
87,"PRIVATE",1968,32,3,3,3,3
95,"PRIVATE",1970,45,5,3,3,3
99,"PRIVATE",1970,45,5,3,3,3
87,"PRIVATE",1965,10,3,3,3,3
77,"PRIVATE",1950,51,5,2,2,3
91,"PRIVATE",1950,51,5,3,2,3
95,"PRIVATE",1962,55,6,3,3,3
95,"PRIVATE",1962,55,6,3,3,3
88,"PRIVATE",1960,49,5,3,2,3
96,"PRIVATE",1960,49,5,3,3,3
88,"PRIVATE",1970,141,19,3,3,3
92,"PRIVATE",1970,141,19,3,3,3
66,"PRIVATE",1956,13,3,1,1,3
80,"PRIVATE",1956,11,3,2,2,3
91,"PRIVATE",1956,11,3,3,2,3
90,"PRIVATE",1962,29,8,3,3,3
87,"TCHC",1963,47,6,3,2,3
94,"TCHC",1963,47,6,3,3,3
87,"PRIVATE",1979,47,9,2,3,3
95,"PRIVATE",1979,47,9,3,2,3
68,"PRIVATE",1929,60,5,2,1,3
74,"PRIVATE",1929,60,5,3,1,3
89,"PRIVATE",1926,30,4,3,2,3
92,"PRIVATE",1926,30,4,3,1,3
90,"PRIVATE",1963,76,12,3,3,3
94,"PRIVATE",1963,76,12,3,2,3
78,"PRIVATE",1965,88,8,2,2,1
91,"PRIVATE",1960,71,8,3,2,3
95,"PRIVATE",1960,71,8,3,3,3
92,"PRIVATE",1960,61,7,3,1,3
93,"PRIVATE",1960,61,7,3,2,3
90,"PRIVATE",1968,427,28,2,3,3
94,"PRIVATE",1968,427,28,3,3,3
89,"PRIVATE",1931,48,6,3,2,3
94,"PRIVATE",1928,26,3,3,3,3
96,"PRIVATE",1928,26,3,3,2,3
91,"PRIVATE",1928,32,3,3,2,3
99,"PRIVATE",1928,32,3,3,2,3
91,"PRIVATE",1928,34,3,3,2,3
91,"PRIVATE",1966,118,18,3,3,3
97,"PRIVATE",1966,118,18,3,3,3
81,"TCHC",1970,719,29,2,2,3
83,"TCHC",1970,719,29,1,2,3
89,"PRIVATE",1923,38,3,3,1,3
98,"PRIVATE",1923,38,3,3,3,3
88,"PRIVATE",1963,69,7,2,2,3
78,"PRIVATE",1968,554,29,3,2,3
92,"PRIVATE",1968,565,32,3,2,3
96,"PRIVATE",1968,565,32,3,2,3
88,"PRIVATE",1969,571,32,3,2,3
95,"PRIVATE",1969,571,32,3,2,3
99,"PRIVATE",2023,171,13,3,3,3
98,"PRIVATE",2023,160,13,3,3,3
95,"PRIVATE",1960,154,15,3,2,3
95,"PRIVATE",1960,154,15,3,2,3
91,"TCHC",1959,299,11,3,3,3
82,"PRIVATE",1965,371,18,2,2,3
86,"PRIVATE",1965,371,18,2,1,3
92,"PRIVATE",1965,371,19,3,2,3
71,"PRIVATE",1952,29,3,3,2,3
80,"PRIVATE",1952,29,3,3,2,3
70,"PRIVATE",1952,29,3,3,1,3
75,"PRIVATE",1952,29,3,2,2,3
75,"PRIVATE",1950,29,3,3,2,3
76,"PRIVATE",1950,29,3,3,2,3
88,"PRIVATE",1953,30,3,3,3,3
81,"PRIVATE",1956,11,3,2,2,3
98,"PRIVATE",1956,11,3,3,2,3
85,"PRIVATE",1956,12,3,3,2,3
98,"PRIVATE",1956,12,3,3,2,3
57,"PRIVATE",1972,14,3,2,1,2
59,"PRIVATE",1952,11,3,1,1,3
78,"PRIVATE",1958,15,3,3,3,3
89,"PRIVATE",1958,15,3,3,3,3
85,"PRIVATE",1954,22,3,3,2,3
87,"PRIVATE",1954,22,3,3,1,3
90,"SOCIAL HOUSING",1995,24,5,3,3,3
94,"SOCIAL HOUSING",1995,24,5,3,2,3
94,"PRIVATE",1957,11,3,3,3,3
78,"PRIVATE",1960,10,3,2,1,3
85,"PRIVATE",1960,10,3,2,3,3
82,"PRIVATE",1967,246,25,1,3,3
82,"PRIVATE",1967,246,25,1,1,2
73,"PRIVATE",1967,245,25,1,2,3
82,"PRIVATE",1967,245,25,1,1,2
89,"TCHC",1973,391,17,1,2,3
88,"TCHC",1973,391,17,2,2,3
86,"PRIVATE",1970,112,12,3,1,3
88,"PRIVATE",1970,112,12,3,2,3
88,"PRIVATE",1962,62,8,2,3,3
84,"PRIVATE",1962,76,8,3,2,3
93,"PRIVATE",1959,97,6,3,2,3
95,"PRIVATE",1959,97,6,3,3,3
89,"PRIVATE",1961,93,6,3,2,3
83,"PRIVATE",1961,65,6,2,1,3
92,"PRIVATE",1967,150,19,3,3,3
79,"PRIVATE",1965,101,12,2,2,3
89,"PRIVATE",1962,116,9,2,2,3
91,"PRIVATE",1957,34,4,3,3,3
86,"PRIVATE",1960,61,3,3,2,3
85,"PRIVATE",1961,33,4,2,2,3
92,"PRIVATE",1960,65,8,3,2,3
93,"PRIVATE",1960,65,8,3,3,3
93,"PRIVATE",1962,97,13,3,3,3
94,"PRIVATE",1963,69,10,3,2,3
80,"PRIVATE",1968,52,6,2,3,3
81,"PRIVATE",1972,214,27,2,2,3
84,"PRIVATE",1973,214,27,1,3,3
75,"TCHC",1984,176,18,2,1,2
89,"TCHC",1984,176,18,3,2,3
98,"PRIVATE",1961,59,4,3,3,3
84,"PRIVATE",1961,55,4,3,2,3
89,"PRIVATE",1961,55,4,3,2,3
83,"PRIVATE",1960,93,4,3,2,2
90,"PRIVATE",1960,93,4,3,2,3
96,"PRIVATE",1960,97,4,3,3,3
97,"PRIVATE",1963,57,4,3,2,3
95,"PRIVATE",1963,57,4,3,2,3
75,"PRIVATE",1972,263,27,2,2,2
77,"PRIVATE",1972,263,27,1,1,3
92,"PRIVATE",1977,46,3,3,2,3
96,"PRIVATE",1977,46,3,3,3,3
83,"PRIVATE",1977,61,3,3,1,3
86,"PRIVATE",1968,122,11,3,1,3
82,"PRIVATE",1968,121,11,3,2,3
94,"PRIVATE",1968,121,11,3,3,3
91,"PRIVATE",1975,139,19,3,2,3
89,"PRIVATE",1975,139,18,3,3,3
91,"PRIVATE",1974,233,17,3,2,3
96,"PRIVATE",1974,228,17,3,1,3
97,"PRIVATE",1974,228,17,3,3,3
90,"PRIVATE",1973,233,17,3,3,3
74,"PRIVATE",1920,18,3,1,1,3
76,"PRIVATE",1920,18,3,1,3,3
88,"PRIVATE",1920,18,3,2,2,3
97,"PRIVATE",1958,65,3,3,3,3
97,"PRIVATE",1958,65,3,3,2,3
98,"SOCIAL HOUSING",1992,16,4,3,3,3
90,"PRIVATE",1971,328,20,3,2,3
87,"PRIVATE",1971,132,16,2,2,3
78,"TCHC",1972,238,14,1,3,3
76,"PRIVATE",1959,12,3,3,2,3
84,"PRIVATE",1960,41,4,3,2,3
78,"PRIVATE",1958,24,3,3,2,3
99,"PRIVATE",1958,24,3,3,3,3
76,"PRIVATE",1965,13,4,1,1,1
85,"PRIVATE",1965,13,4,1,2,3
95,"PRIVATE",1956,56,4,3,2,3
98,"PRIVATE",1956,56,4,3,3,3
91,"PRIVATE",1950,60,4,3,1,3
99,"PRIVATE",1950,60,4,3,3,3
89,"TCHC",1982,125,5,3,2,3
89,"PRIVATE",1955,46,4,3,2,3
97,"PRIVATE",1955,46,4,3,3,3
98,"PRIVATE",1960,20,3,3,3,3
90,"PRIVATE",1960,26,3,3,2,3
96,"PRIVATE",1960,26,3,3,3,3
76,"PRIVATE",1955,26,3,3,2,3
90,"PRIVATE",1957,11,3,2,2,3
93,"PRIVATE",1960,20,3,3,2,3
88,"PRIVATE",1952,40,3,3,2,3
96,"PRIVATE",1952,40,3,3,3,3
87,"PRIVATE",1952,33,3,3,2,3
94,"PRIVATE",1952,33,3,3,3,3
85,"PRIVATE",1950,32,3,2,2,3
93,"PRIVATE",1950,32,3,3,3,3
84,"PRIVATE",1958,10,3,2,1,3
75,"PRIVATE",1960,10,3,3,2,3
79,"PRIVATE",1960,10,3,1,2,3
74,"PRIVATE",1958,10,3,2,2,3
76,"PRIVATE",1958,10,3,1,2,3
96,"PRIVATE",2023,160,12,2,3,3
89,"TCHC",1995,132,5,3,2,3
74,"PRIVATE",1953,11,3,1,1,2
77,"PRIVATE",1953,11,3,1,1,2
69,"PRIVATE",1953,11,3,1,1,3
79,"PRIVATE",1953,11,3,2,2,3
76,"PRIVATE",1953,11,3,1,2,2
73,"PRIVATE",1955,11,3,2,1,3
87,"PRIVATE",1960,12,3,3,2,3
75,"PRIVATE",1960,12,3,3,2,3
91,"PRIVATE",1960,12,3,3,2,3
92,"PRIVATE",1960,44,4,3,3,3
93,"PRIVATE",1960,44,4,3,2,3
85,"PRIVATE",1960,23,3,2,2,3
93,"PRIVATE",1960,36,3,2,2,3
87,"PRIVATE",1960,36,3,3,2,3
75,"PRIVATE",1953,16,3,2,2,3
89,"PRIVATE",1965,118,11,3,2,3
91,"PRIVATE",1970,229,15,3,3,3
93,"PRIVATE",1970,229,15,3,3,3
92,"PRIVATE",1970,61,4,3,2,3
95,"PRIVATE",1970,61,4,3,2,3
83,"PRIVATE",1968,80,4,2,2,3
93,"PRIVATE",1968,80,4,3,3,3
91,"TCHC",1993,124,8,3,2,3
88,"PRIVATE",1960,85,8,3,1,3
84,"PRIVATE",1960,86,8,2,2,3
91,"PRIVATE",1960,86,8,3,1,3
81,"PRIVATE",1960,81,8,2,1,3
87,"PRIVATE",1960,81,8,2,1,3
87,"PRIVATE",1960,84,7,2,2,3
94,"PRIVATE",1960,84,7,3,2,3
85,"PRIVATE",1968,27,4,2,1,3
91,"PRIVATE",1960,36,4,3,2,3
100,"PRIVATE",1960,36,4,3,3,3
91,"PRIVATE",1960,82,4,3,2,3
96,"PRIVATE",1955,32,4,3,2,3
77,"PRIVATE",1954,31,3,2,2,3
91,"PRIVATE",1954,31,3,3,2,3
79,"PRIVATE",1954,31,3,3,2,3
95,"PRIVATE",1954,31,3,3,3,3
86,"TCHC",1993,79,4,3,2,3
84,"PRIVATE",1970,25,4,2,3,3
64,"PRIVATE",1922,16,3,2,2,3
92,"PRIVATE",1962,92,6,3,2,3
95,"PRIVATE",1962,92,6,3,1,3
95,"PRIVATE",1962,52,6,3,2,3
88,"PRIVATE",1950,11,3,3,2,3
91,"PRIVATE",1950,11,3,3,2,3
91,"PRIVATE",1965,11,3,3,2,3
92,"PRIVATE",1965,11,3,3,2,3
89,"PRIVATE",1950,11,3,3,2,3
92,"PRIVATE",1950,11,3,3,2,3
95,"PRIVATE",1950,11,3,3,2,3
91,"PRIVATE",1956,22,3,3,2,3
93,"PRIVATE",1956,22,3,3,2,3
90,"PRIVATE",1965,11,3,3,2,3
94,"PRIVATE",1965,11,3,3,2,3
89,"PRIVATE",1959,11,3,3,3,3
93,"PRIVATE",1965,11,3,3,2,3
93,"PRIVATE",1965,11,3,3,2,3
94,"PRIVATE",1965,11,3,3,3,3
94,"PRIVATE",1965,11,3,3,2,3
86,"PRIVATE",1960,11,3,2,2,3
99,"PRIVATE",1960,82,4,3,3,3
92,"PRIVATE",1958,35,4,3,2,3
99,"PRIVATE",1958,35,4,3,3,3
87,"PRIVATE",1960,66,3,3,1,3
80,"PRIVATE",1958,42,4,1,2,3
79,"PRIVATE",1958,42,4,1,2,3
91,"PRIVATE",1971,40,4,3,2,3
94,"PRIVATE",1971,40,4,3,2,3
90,"PRIVATE",1955,42,4,3,3,3
93,"PRIVATE",1955,42,4,3,3,3
76,"PRIVATE",1958,55,4,3,2,3
87,"PRIVATE",1958,55,4,2,3,3
75,"PRIVATE",1958,55,4,1,2,3
84,"PRIVATE",1958,55,4,3,2,3
78,"PRIVATE",1958,21,4,1,1,3
80,"PRIVATE",1958,21,4,2,2,3
91,"PRIVATE",1960,42,4,3,3,3
93,"PRIVATE",1960,42,4,2,2,3
90,"PRIVATE",1960,42,4,2,2,3
82,"PRIVATE",1950,10,3,2,2,3
80,"PRIVATE",1950,10,3,2,2,3
92,"PRIVATE",1953,11,3,3,2,3
79,"PRIVATE",1950,10,3,3,2,3
84,"PRIVATE",1950,10,3,2,3,3
87,"PRIVATE",1950,10,3,1,3,3
88,"PRIVATE",1964,10,3,3,2,3
86,"PRIVATE",1973,10,3,3,2,3
85,"PRIVATE",1967,10,3,2,2,2
74,"PRIVATE",1926,52,4,1,3,1
93,"PRIVATE",1934,24,4,3,3,3
91,"PRIVATE",1952,79,5,3,1,3
96,"PRIVATE",1940,33,3,3,2,3
88,"PRIVATE",1957,97,7,2,2,3
95,"PRIVATE",1957,97,7,3,2,3
84,"PRIVATE",1955,45,4,3,1,3
84,"PRIVATE",1957,23,4,2,3,3
86,"PRIVATE",1977,38,4,2,2,3
75,"PRIVATE",1966,106,8,1,2,3
85,"PRIVATE",1966,106,8,1,3,3
79,"SOCIAL HOUSING",1990,210,16,3,1,3
99,"PRIVATE",2017,272,29,3,3,3
99,"PRIVATE",2017,272,29,3,3,3
99,"PRIVATE",2016,186,10,3,3,3
99,"PRIVATE",2016,186,10,3,3,3
99,"PRIVATE",2016,176,10,3,3,3
99,"PRIVATE",2023,276,30,3,3,3
88,"PRIVATE",1913,22,3,2,2,3
66,"PRIVATE",1900,16,3,1,1,3
69,"PRIVATE",1900,16,3,1,1,2
92,"PRIVATE",1959,70,7,3,1,3
93,"PRIVATE",1959,70,7,3,2,3
91,"PRIVATE",1960,11,3,3,2,3
87,"PRIVATE",1962,11,3,3,2,3
88,"PRIVATE",1954,12,3,3,1,3
98,"PRIVATE",1962,52,6,3,3,3
99,"PRIVATE",1962,52,6,3,2,3
93,"PRIVATE",1964,37,6,3,2,3
91,"PRIVATE",1964,37,6,3,2,3
92,"PRIVATE",1955,18,3,3,3,3
93,"TCHC",1977,330,10,2,3,3
97,"PRIVATE",1982,141,9,3,2,3
95,"PRIVATE",1982,132,9,3,3,3
89,"PRIVATE",1954,34,4,3,2,3
92,"PRIVATE",1956,28,4,3,2,3
85,"PRIVATE",1968,27,4,3,2,3
77,"PRIVATE",1954,54,4,3,1,3
94,"PRIVATE",1954,54,4,3,3,3
81,"PRIVATE",1954,54,4,3,1,3
91,"PRIVATE",1954,54,4,3,2,3
89,"PRIVATE",1960,59,4,3,2,3
95,"PRIVATE",1960,59,4,3,2,3
99,"PRIVATE",1958,35,4,3,3,3
83,"PRIVATE",1954,26,4,3,2,3
89,"PRIVATE",1954,26,4,3,2,3
90,"PRIVATE",1964,67,8,3,3,3
93,"PRIVATE",1964,67,8,3,2,3
87,"SOCIAL HOUSING",1987,112,8,3,2,3
92,"SOCIAL HOUSING",1987,112,8,2,3,3
92,"PRIVATE",1954,54,4,3,2,3
93,"PRIVATE",1954,54,4,3,2,3
83,"PRIVATE",1966,52,5,3,2,3
93,"PRIVATE",1966,52,5,2,2,3
96,"PRIVATE",1958,54,5,3,3,3
95,"PRIVATE",1958,54,5,3,3,3
97,"PRIVATE",1966,93,7,3,3,3
98,"PRIVATE",1966,93,7,3,3,3
86,"PRIVATE",1968,59,4,2,2,3
92,"PRIVATE",1958,43,4,3,2,3
94,"PRIVATE",1958,43,4,3,3,3
95,"PRIVATE",1958,43,4,3,3,3
94,"PRIVATE",1962,85,6,3,2,3
93,"PRIVATE",1960,35,4,3,2,3
99,"PRIVATE",1963,100,7,3,3,3
96,"PRIVATE",1963,100,7,3,2,3
100,"PRIVATE",1963,100,7,3,3,3
84,"PRIVATE",1961,67,7,1,2,3
90,"PRIVATE",1961,67,7,3,2,3
92,"PRIVATE",1979,83,10,3,2,3
91,"PRIVATE",1959,36,4,3,2,3
94,"PRIVATE",1959,36,4,3,2,3
93,"PRIVATE",1959,36,4,3,3,3
69,"PRIVATE",1964,204,12,2,2,2
75,"PRIVATE",1964,204,12,1,1,3
79,"PRIVATE",1964,240,15,1,2,3
78,"PRIVATE",1960,91,7,1,2,2
76,"PRIVATE",1961,11,3,3,2,3
93,"PRIVATE",1964,72,6,3,2,3
95,"PRIVATE",1964,71,6,2,2,3
98,"PRIVATE",1964,71,6,3,3,3
79,"PRIVATE",1962,69,6,2,2,2
94,"PRIVATE",1960,104,7,3,2,3
95,"PRIVATE",1972,178,13,3,3,3
78,"TCHC",1971,203,15,1,2,3
88,"TCHC",1971,203,15,2,2,3
77,"TCHC",1971,201,15,1,2,3
89,"TCHC",1971,201,15,1,3,3
81,"PRIVATE",1972,228,6,1,1,3
90,"PRIVATE",2017,337,37,3,2,3
91,"PRIVATE",1960,34,3,3,3,3
87,"PRIVATE",1960,33,4,2,2,3
89,"PRIVATE",1960,33,4,3,2,3
86,"PRIVATE",1960,33,4,2,2,3
90,"PRIVATE",1960,33,4,3,2,3
90,"PRIVATE",1960,33,4,3,2,3
87,"TCHC",1967,198,11,2,2,3
91,"TCHC",1967,198,11,2,2,3
90,"PRIVATE",1965,131,18,3,1,3
91,"PRIVATE",1965,131,18,3,2,3
98,"PRIVATE",1965,63,7,3,3,3
100,"PRIVATE",1965,63,7,3,3,3
68,"PRIVATE",1970,78,10,2,1,3
83,"PRIVATE",1970,78,10,2,2,3
83,"PRIVATE",1960,71,8,2,3,3
80,"PRIVATE",1955,38,4,3,1,3
74,"PRIVATE",1960,40,3,2,1,3
78,"PRIVATE",1960,40,3,2,1,3
87,"PRIVATE",1971,61,10,3,3,3
83,"PRIVATE",1966,174,15,3,1,3
86,"PRIVATE",1966,174,15,1,1,3
74,"PRIVATE",1961,33,4,3,1,3
90,"PRIVATE",1961,33,4,3,1,3
85,"PRIVATE",1960,85,13,3,3,3
84,"PRIVATE",1958,35,4,2,1,3
90,"PRIVATE",1958,35,4,2,1,3
73,"PRIVATE",1920,10,4,3,1,3
91,"PRIVATE",1964,547,25,3,3,3
96,"PRIVATE",1928,15,4,3,3,3
90,"PRIVATE",1954,12,3,3,2,3
89,"TCHC",1964,223,15,1,2,3
87,"TCHC",1964,223,15,2,2,3
93,"PRIVATE",1965,49,7,3,2,3
87,"PRIVATE",1963,79,5,1,2,3
83,"PRIVATE",1963,79,5,3,2,3
95,"PRIVATE",1968,126,13,3,2,3
96,"PRIVATE",1968,126,13,3,2,3
94,"PRIVATE",1968,108,7,3,2,3
96,"PRIVATE",1968,108,7,3,2,3
94,"PRIVATE",1971,105,7,3,2,3
96,"PRIVATE",1971,105,7,3,2,3
94,"PRIVATE",1971,128,13,3,2,3
96,"PRIVATE",1971,128,13,3,2,3
99,"PRIVATE",2022,259,16,3,3,3
72,"PRIVATE",1957,10,3,2,2,3
80,"PRIVATE",1957,10,3,2,2,3
91,"PRIVATE",1956,10,3,3,2,3
98,"PRIVATE",1956,10,3,3,2,3
87,"PRIVATE",1950,11,3,3,2,3
