"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
92,"PRIVATE",1956,28,4,3,2,3
93,"SOCIAL HOUSING",1910,48,5,3,2,3
94,"PRIVATE",1965,66,6,3,2,3
94,"PRIVATE",1967,96,7,3,2,3
88,"PRIVATE",1965,82,7,3,3,3
93,"PRIVATE",1965,82,7,3,2,3
91,"PRIVATE",1959,61,8,3,3,3
84,"PRIVATE",1957,72,8,3,2,3
97,"PRIVATE",1960,86,11,3,2,3
98,"PRIVATE",1960,86,11,3,2,3
93,"PRIVATE",1957,73,7,3,3,3
72,"PRIVATE",1965,82,11,1,2,1
84,"PRIVATE",1965,82,11,3,2,3
96,"PRIVATE",1960,47,8,3,3,3
95,"PRIVATE",1963,62,11,3,3,3
92,"PRIVATE",1962,100,12,3,3,3
91,"PRIVATE",1962,100,12,3,3,3
86,"PRIVATE",1955,18,3,3,2,3
85,"PRIVATE",1955,18,3,3,2,3
89,"PRIVATE",1910,18,3,3,3,3
96,"PRIVATE",1910,18,3,3,3,3
79,"PRIVATE",1910,18,3,3,2,3
89,"PRIVATE",1960,32,6,3,2,3
96,"PRIVATE",1960,32,6,3,1,3
87,"PRIVATE",1955,25,4,2,1,3
97,"PRIVATE",1958,17,3,3,3,3
97,"PRIVATE",1958,17,3,3,2,3
91,"PRIVATE",1964,106,9,3,2,3
89,"PRIVATE",1964,107,9,3,3,3
97,"PRIVATE",1970,93,12,3,3,3
92,"PRIVATE",1973,146,15,3,2,3
98,"PRIVATE",1960,63,8,3,3,3
98,"PRIVATE",1960,63,8,3,3,3
89,"PRIVATE",1968,40,5,3,2,3
95,"PRIVATE",1968,40,5,3,3,3
93,"TCHC",1967,76,6,3,3,3
91,"TCHC",1967,76,6,3,1,3
96,"PRIVATE",1958,28,3,3,2,3
96,"PRIVATE",1958,28,3,3,3,3
89,"PRIVATE",1960,29,3,3,1,3
75,"PRIVATE",1971,102,15,1,1,3
88,"PRIVATE",1960,105,10,3,3,3
86,"PRIVATE",1960,105,10,3,1,3
77,"PRIVATE",1960,21,3,1,2,3
79,"PRIVATE",1960,21,3,3,3,3
94,"PRIVATE",1970,206,17,3,2,3
82,"PRIVATE",1954,40,4,3,2,3
80,"TCHC",1966,294,11,1,3,3
80,"PRIVATE",1950,12,3,3,2,3
83,"PRIVATE",1950,12,3,3,2,3
83,"PRIVATE",1964,12,3,3,3,3
79,"PRIVATE",1964,12,3,3,2,3
80,"PRIVATE",1965,39,5,1,1,3
98,"PRIVATE",1965,11,3,3,2,3
98,"PRIVATE",1965,11,3,3,2,3
98,"PRIVATE",1965,11,3,3,2,3
99,"PRIVATE",1965,11,3,3,3,3
99,"PRIVATE",1965,11,3,3,3,3
98,"PRIVATE",1965,11,3,3,2,3
98,"PRIVATE",1965,11,3,3,2,3
88,"PRIVATE",1968,158,20,3,2,3
94,"PRIVATE",1968,158,20,3,2,3
91,"PRIVATE",1970,154,20,2,3,2
90,"PRIVATE",1960,115,13,3,2,3
96,"PRIVATE",1960,115,13,3,2,3
96,"PRIVATE",1972,52,5,3,3,3
90,"PRIVATE",1968,118,12,2,2,3
89,"PRIVATE",1968,118,12,2,2,3
86,"PRIVATE",1968,144,4,2,2,3
92,"PRIVATE",1968,144,4,3,2,3
91,"PRIVATE",1975,198,17,3,3,3
87,"PRIVATE",1968,234,17,1,2,3
75,"PRIVATE",1971,156,13,3,1,3
79,"PRIVATE",1971,156,13,2,2,3
90,"PRIVATE",1960,183,14,2,2,3
98,"PRIVATE",1970,153,13,3,2,3
94,"PRIVATE",1970,164,14,3,3,3
81,"TCHC",1971,188,15,2,3,3
92,"TCHC",1971,188,15,3,2,3
92,"TCHC",1970,164,12,3,3,3
93,"PRIVATE",1967,163,14,3,3,3
92,"PRIVATE",1974,131,15,1,2,3
94,"PRIVATE",1974,131,15,3,2,3
79,"PRIVATE",1973,97,9,3,2,3
74,"PRIVATE",1975,291,13,1,1,2
78,"PRIVATE",1975,291,13,3,1,3
88,"PRIVATE",1967,45,3,2,2,3
85,"PRIVATE",1967,45,3,3,2,3
81,"PRIVATE",1967,45,3,3,1,3
86,"PRIVATE",1963,45,3,2,2,3
82,"PRIVATE",1963,45,3,3,2,3
81,"PRIVATE",1963,45,3,3,1,3
97,"SOCIAL HOUSING",2009,98,6,3,3,3
86,"TCHC",1994,55,7,3,2,3
95,"TCHC",1994,55,7,3,3,3
86,"PRIVATE",1929,72,6,3,2,3
100,"PRIVATE",1929,72,6,3,3,3
81,"SOCIAL HOUSING",1992,75,9,3,2,3
90,"TCHC",1995,82,10,3,2,3
80,"PRIVATE",1960,35,4,3,2,3
87,"PRIVATE",1960,35,4,3,1,3
89,"PRIVATE",1928,26,3,2,2,3
94,"PRIVATE",1928,26,3,3,2,3
89,"PRIVATE",1960,143,9,3,2,3
92,"PRIVATE",1960,143,9,3,2,3
85,"PRIVATE",1960,76,7,2,2,3
97,"PRIVATE",1928,30,3,3,2,3
99,"PRIVATE",1928,30,3,3,2,3
77,"TCHC",1991,212,10,2,2,3
96,"PRIVATE",1888,16,3,3,3,3
76,"PRIVATE",1900,30,3,2,2,3
90,"PRIVATE",1900,30,3,3,3,3
91,"PRIVATE",1954,22,3,3,3,3
98,"PRIVATE",1954,22,3,3,3,3
17,"PRIVATE",1954,10,3,0,2,0
97,"PRIVATE",1954,10,3,3,2,3
83,"PRIVATE",1966,90,7,2,2,3
94,"PRIVATE",1960,11,3,3,2,3
85,"PRIVATE",1950,11,3,3,2,3
96,"PRIVATE",1950,11,3,3,3,3
89,"PRIVATE",1971,35,4,3,2,3
92,"PRIVATE",1971,35,4,3,2,3
88,"PRIVATE",1971,39,4,3,1,3
92,"SOCIAL HOUSING",1987,150,7,3,2,3
85,"PRIVATE",1955,130,6,2,2,3
92,"PRIVATE",1955,130,6,3,2,3
86,"PRIVATE",1960,124,6,2,2,3
94,"PRIVATE",1960,124,6,3,2,3
72,"PRIVATE",1958,55,5,1,1,3
80,"PRIVATE",1958,55,5,2,2,3
87,"PRIVATE",1949,15,4,3,2,3
95,"PRIVATE",1949,15,4,3,2,3
83,"PRIVATE",1979,284,26,2,2,1
95,"PRIVATE",1979,284,26,3,3,3
87,"PRIVATE",1972,240,30,2,3,3
97,"TCHC",1993,72,8,3,2,3
88,"PRIVATE",1920,48,4,3,3,3
87,"PRIVATE",1960,11,3,2,2,3
93,"PRIVATE",1960,11,3,3,2,3
80,"PRIVATE",1966,36,5,3,2,3
93,"PRIVATE",1966,36,5,3,2,3
91,"PRIVATE",1956,50,4,3,2,3
99,"PRIVATE",1956,50,4,3,3,3
88,"PRIVATE",1977,38,4,2,2,3
95,"PRIVATE",1977,38,4,3,3,3
81,"SOCIAL HOUSING",1987,97,5,2,2,3
95,"SOCIAL HOUSING",1987,97,5,3,3,3
95,"PRIVATE",2016,64,7,3,3,3
68,"PRIVATE",1970,59,6,2,3,3
97,"PRIVATE",1970,59,6,3,3,3
92,"SOCIAL HOUSING",1992,61,6,3,3,3
62,"PRIVATE",1968,304,20,1,1,2
90,"PRIVATE",1915,42,4,3,2,3
89,"PRIVATE",1986,25,5,2,2,3
95,"PRIVATE",1986,25,5,3,2,3
93,"PRIVATE",1954,10,3,3,2,3
93,"PRIVATE",1954,10,3,3,2,3
83,"PRIVATE",1954,11,3,3,2,3
90,"PRIVATE",1955,10,3,3,2,3
95,"PRIVATE",1955,10,3,3,3,3
69,"PRIVATE",1954,11,3,2,3,3
71,"PRIVATE",1945,10,3,3,2,3
70,"PRIVATE",1954,11,3,3,2,3
80,"PRIVATE",1954,11,3,3,2,3
88,"PRIVATE",1954,10,3,3,2,3
70,"PRIVATE",1953,11,3,3,2,3
85,"PRIVATE",1953,11,3,2,2,3
90,"TCHC",1968,304,16,1,3,3
88,"TCHC",1968,304,16,3,2,3
79,"PRIVATE",1968,304,16,1,2,2
81,"PRIVATE",1968,188,9,2,2,3
91,"PRIVATE",1968,188,9,2,2,3
88,"PRIVATE",1960,130,9,2,1,3
83,"PRIVATE",1960,130,9,2,2,3
90,"PRIVATE",1960,130,9,2,3,3
86,"PRIVATE",1930,40,4,2,2,3
98,"PRIVATE",1930,40,4,3,2,3
91,"PRIVATE",1960,40,4,2,2,3
93,"PRIVATE",1960,40,4,3,2,3
90,"PRIVATE",1960,40,4,2,1,3
91,"PRIVATE",1960,40,4,3,2,3
97,"PRIVATE",1976,217,25,3,3,3
95,"PRIVATE",1976,217,25,3,3,3
86,"PRIVATE",1973,346,21,2,2,3
91,"PRIVATE",1969,344,21,3,2,3
96,"PRIVATE",1969,344,21,3,3,3
93,"PRIVATE",1974,327,21,3,1,3
82,"TCHC",1970,340,20,1,2,3
92,"PRIVATE",1940,210,10,3,3,3
81,"SOCIAL HOUSING",1982,244,16,1,1,2
55,"PRIVATE",1980,37,4,1,1,3
68,"PRIVATE",1980,37,4,1,1,3
86,"PRIVATE",1996,102,7,2,3,3
89,"PRIVATE",1996,102,7,3,2,3
70,"PRIVATE",1930,10,3,2,1,3
77,"PRIVATE",1930,10,3,2,1,3
83,"TCHC",1987,105,6,2,2,1
91,"TCHC",1987,105,6,3,2,3
67,"PRIVATE",1940,31,3,3,3,3
94,"PRIVATE",1940,31,3,3,2,3
74,"PRIVATE",1960,48,4,1,2,3
95,"PRIVATE",1960,48,4,3,3,3
91,"PRIVATE",1954,63,7,3,3,3
97,"PRIVATE",1954,63,7,3,3,3
90,"TCHC",1937,41,4,2,3,3
91,"TCHC",1990,41,4,3,3,3
91,"TCHC",1970,31,4,3,3,3
85,"PRIVATE",1950,50,4,3,2,3
89,"PRIVATE",1930,67,6,3,2,3
94,"PRIVATE",1930,67,6,3,2,3
89,"PRIVATE",1928,32,3,3,3,3
88,"PRIVATE",1960,17,4,2,3,3
90,"PRIVATE",1960,17,4,3,3,3
98,"PRIVATE",1929,46,5,3,3,3
97,"PRIVATE",1929,46,5,3,3,3
99,"PRIVATE",1929,46,5,3,3,3
85,"PRIVATE",1955,272,12,2,2,2
91,"PRIVATE",1955,272,12,3,3,3
84,"PRIVATE",1957,41,4,3,3,3
97,"PRIVATE",1957,41,4,3,3,3
97,"PRIVATE",1957,41,4,3,3,3
98,"PRIVATE",1957,41,4,3,2,3
88,"TCHC",1990,110,5,3,2,2
90,"TCHC",1990,110,5,3,2,3
67,"PRIVATE",1940,27,4,1,3,3
83,"PRIVATE",1940,27,4,3,3,3
60,"PRIVATE",1937,22,3,1,1,2
